bid,sid,sample.type,room,materials,school,schid,samplingRound,samplingStart,samplingEnd,1,2,3,4,5,6,7,8,9,10,11,12+13,14,15,16,17,18+30,19,20+28,21+33,22,23,24,25,26+29,27,31,32,34,35,36,37,38,39,40+71,41,42,43,44+47+65,45,46,48,49+69,50+53,51,52,54,55,56,57,58,59+62+75,60,61+70+74+76,63,64,66,67,68,72,73,77,78,79,80,81,82,83,84,85+116,86+97+109+119,87+125,88,89,90+101+113,91,92,93+100,94,95,96,98,99,102,103,104,105,106,107,108+124,110,111,112,114,115,117,118,120,121,122,123,126,127,128+166,129+138+163,130,131,132,133,134,135+151,136,137,139+140,141,142,143,144,145,146,147+149,148,150,152,153+168,154,155,156+157,158,159,160,161,162,164,165,167,169,170,171+173,172,174,175,176,177,178,179,180+193,181,182,183,184,185,186,187,188,189,190,191,192,194,195,196,197,198+199,200,201,202,203,205,206,207,208,209,sum
BF01,S620,Air,Utility,Air,Bellows Falls,SCH A,1,10/21/2023,11/17/2023,3.149,0.215,1.079,1.058,0.08,0.373,0.155,1.358,0.189,0.071,0.059,0.1,0,0.268,0.188,0.192,0.454,0.069,0.326,0.24,0.138,0.001,0.007,0.032,0.065,0.029,0.39,0.115,0.001,0.004,0,0.065,0.002,0,0.22,0.043,0.134,0.019,0.937,0.101,0.035,0.107,0.547,0.117,0.015,2.79,0.002,0.005,0.158,0.001,0.001,0.034,0.098,1.486,0.024,0.343,0.385,0.008,0.002,0.001,0.003,0.01,0,0.022,0,0.002,0.225,0.119,0.762,0.27,0.589,0.851,0.009,0.026,2.53,0.355,0.547,0.019,0.012,3.075,0.027,0.003,0.928,0.077,0.016,0,0.377,0,0.061,0.049,1.83,0,0.001,0.026,0.054,0.048,1.028,0,0,0.018,0.015,0.001,0,0.118,0.878,0.067,0.032,0.463,0.017,0.102,0.415,0.299,0.068,0.038,0.165,0.001,0.006,0.085,0.002,0.114,0.943,0.002,0.003,0.004,0.685,0.012,0,0.068,0.094,0.001,0,0,0.002,0.052,0,0.026,0,0.039,0.028,0.01,0.064,0.005,0.019,0.038,0.016,0.041,0.085,0.001,0.001,0.045,0.001,0.003,0,0.076,0,0.002,0.011,0.002,0,0.008,0.006,0.007,0,0.023,0.001,0.003,0.009,0.015,0.001,0.004,0.002,0.005,0.006,37.413
BF02,S643,Air,Aud,Air,Bellows Falls,SCH A,1,10/21/2023,11/17/2023,0.45,0.055,0.28,0.199,0.026,0.122,0.041,0.411,0.049,0.015,0.065,0.046,0,0.13,0.091,0.088,0.215,0.021,0.204,0.142,0.09,0,0.004,0.016,0.033,0.014,0.244,0.059,0.001,0.003,0,0.042,0.003,0,0.25,0.043,0.142,0.019,1.182,0.08,0.026,0.099,0.638,0.093,0.008,3.406,0.001,0.004,0.19,0.002,0,0.032,0.113,2.368,0.031,0.444,0.54,0.01,0.001,0.001,0.004,0.014,0.001,0.032,0.001,0.001,0.336,0.147,1.056,0.393,0.865,1.188,0.017,0.043,3.745,0.461,0.809,0.018,0.016,4.366,0.031,0.005,1.371,0.1,0.022,0,0.573,0.001,0.117,0.097,2.867,0,0.002,0.048,0.078,0.062,1.863,0.002,0,0.028,0.029,0.001,0.001,0.153,1.365,0.101,0.058,0.778,0.028,0.18,0.674,0.457,0.114,0.07,0.242,0.003,0.009,0.14,0.003,0.186,1.588,0.003,0.005,0.007,1.052,0.022,0,0.076,0.149,0,0,0,0.004,0.073,0,0.031,0,0.034,0.027,0.004,0.058,0.005,0.019,0.038,0.015,0.05,0.062,0.001,0.002,0.045,0.002,0.003,0,0.067,0.001,0.003,0.009,0.001,0,0.007,0.005,0.006,0.001,0.012,0.001,0.003,0.006,0.01,0,0.001,0.002,0.001,0.003,41.77
BF03,S644,Emissions,Aud,Carpet,Bellows Falls,SCH A,1,10/21/2023,11/17/2023,16.612,3.627,20.304,8.366,1.996,9.693,3.181,37.264,3.553,0.692,6.209,6.978,0.002,21.547,8.981,7.189,16.394,1.324,28.173,19.334,12.197,0.005,0.212,2.26,4.957,1.232,33.336,6.162,0.078,0.476,0.002,6.302,0.213,0.005,29.784,5.063,15.548,2.051,130.723,7.592,2.752,11.241,72.765,8.693,1.378,369.501,0.042,0.376,23.779,0.03,0.006,3.301,14.044,285.056,3.691,54.778,67.023,0.888,0.018,0.179,0.478,1.228,0.006,0.008,0.004,0.02,30.246,16.016,109.399,37.142,84.265,125.42,0.407,4.076,367.467,48.866,79.224,1.866,1.474,440.124,2.506,0.244,135.475,10.586,2.107,0.004,43.619,0.013,8.449,7.275,258.629,0.01,0.084,3.203,1.555,6.78,137.823,0.012,0.004,1.797,2.457,0.005,0.016,8.335,77.993,6.208,3.857,49.034,1.822,12.269,51.279,36.607,6.978,4.795,15.351,0.024,0.584,10.672,0.214,12.477,114.342,0.142,0.339,0.468,70.102,1.612,0.001,3.562,8.966,0.004,0.01,0.004,0.02,4.222,0.004,1.569,0.005,0.795,1.15,0.255,2.761,0.271,1.24,1.551,0.876,3.15,2.199,0.05,0.055,2.407,0.118,0.294,0.004,3.795,0.07,0.011,0.229,0.031,0.003,0.068,0.016,0.146,0.008,0.462,0.017,0.04,0.065,0.208,0.011,0.082,0.072,0.1,0.06,3896.088
BF04,S646,Emissions,Aud,Carpet,Bellows Falls,SCH A,1,10/21/2023,11/17/2023,19.102,3.845,19.084,9.608,1.711,9.258,3.11,33.943,3.45,0.753,4.857,5.022,0.009,14.982,7.074,6.84,16.904,1.228,21.374,14.622,8.635,0.007,0.311,1.862,3.718,1.145,24.312,5.179,0.005,0.235,0.003,4.182,0.107,0.006,19.279,3.099,10.394,1.28,88.967,5.402,1.898,7.961,49.263,6.134,0.748,243.864,0.003,0.048,11.959,0.005,0.003,2.029,6.921,147.148,2.089,36.284,35.079,0.287,0.004,0.005,0.545,0.475,0.005,0.006,0.008,0.005,15.066,7.667,59.628,18.271,46.538,66.853,0.155,2.259,187.072,26.617,43.384,1.285,0.754,254.336,1.918,0.096,79.257,6.303,1.262,0.013,20.076,0.009,3.982,3.993,130.27,0.006,0.026,1.673,0.428,3.055,68.423,0.007,0.003,0.938,0.983,0.006,0.011,3.898,36.931,3.099,2.036,25.729,0.935,6.535,26.709,20.199,3.573,2.466,8.064,0.005,0.318,5.383,0.07,6.199,57.934,0.079,0.239,0.243,35.527,0.812,0.001,1.666,4.199,0.003,0.006,0.004,0.008,2.236,0.003,0.749,0.006,0.134,0.537,0.111,1.223,0.043,0.653,0.657,0.406,1.523,1.061,0.01,0.043,1.119,0.098,0.096,0.008,1.646,0.05,0.017,0.025,0.006,0.005,0.022,0.009,0.01,0.011,0.203,0.005,0.027,0.105,0.142,0.009,0.01,0.005,0.018,0.066,2246.28
BF05,S647,Emissions,Aud,Carpet,Bellows Falls,SCH A,1,10/21/2023,11/17/2023,17.309,3.566,18.74,7.469,1.7,8.72,2.661,30.425,3.025,0.545,5.039,5.121,0.002,16.713,7.53,6.526,15.256,1.076,22.476,15.783,9.998,0.009,0.289,1.896,3.852,0.996,27.149,4.894,0.054,0.317,0.003,6.025,0.209,0.006,23.875,3.798,11.81,1.574,99.728,5.88,1.992,9.177,59.215,6.578,0.863,299.145,0.038,0.202,15.665,0.014,0.012,2.711,9.136,200.382,2.711,50.126,50.376,0.705,0.011,0.046,0.164,0.598,0.017,0.006,0.007,0.015,23.937,11.558,90.242,30.398,63.049,96.194,0.228,2.939,335.28,39.29,66.019,1.643,1.393,391.277,2.197,0.205,109.675,9.213,1.867,0.003,33.085,0.008,6.702,6.16,206.503,0.009,0.033,2.787,0.722,5.41,115.228,0.011,0.005,1.586,1.625,0.004,0.023,7.499,71.117,5.504,3.5,43.788,1.717,10.747,44.669,31.177,6.316,4.068,13.866,0.01,0.683,9.296,0.194,10.787,100.76,0.151,0.286,0.426,60.819,1.474,0.005,3.164,7.938,0.002,0.01,0.002,0.024,4.203,0.006,1.579,0.006,0.732,1.073,0.088,2.272,0.284,1.036,1.49,0.713,2.537,1.953,0.04,0.094,1.996,0.083,0.113,0.003,3.229,0.049,0.003,0.192,0.007,0.003,0.07,0.043,0.07,0.006,0.357,0.029,0.102,0.214,0.209,0.008,0.01,0.008,0.041,0.058,3223.469
BF06,S648,Air,dWing,Air,Bellows Falls,SCH A,1,10/21/2023,11/17/2023,1.818,0.227,1.141,0.823,0.081,0.434,0.153,1.482,0.178,0.059,0.188,0.146,0.001,0.394,0.275,0.264,0.613,0.071,0.64,0.46,0.266,0.001,0.01,0.052,0.112,0.039,0.746,0.174,0.002,0.01,0,0.132,0,0,0.691,0.113,0.376,0.045,2.876,0.181,0.068,0.264,1.477,0.209,0.036,7.317,0.002,0.01,0.661,0.004,0,0.086,0.369,6.533,0.081,1.163,1.786,0.022,0.007,0.005,0.019,0.033,0,0,0,0,1.13,0.696,3.419,1.349,2.846,3.66,0.006,0.123,11.594,1.426,2.436,0.046,0.041,12.292,0.077,0.004,3.666,0.264,0.056,0.001,1.795,0,0.341,0.279,8.684,0,0.002,0.134,0.139,0.209,5.608,0,0,0.069,0.088,0,0,0.441,3.932,0.301,0.163,2.314,0.078,0.56,2.176,1.417,0.331,0.195,0.751,0.003,0.022,0.435,0.007,0.56,5.034,0.007,0.012,0.017,3.307,0.059,0.001,0.2,0.439,0.003,0,0,0.008,0.216,0.001,0.082,0,0.059,0.066,0.018,0.155,0.015,0.066,0.093,0.05,0.184,0.14,0.007,0.004,0.137,0.003,0.017,0.001,0.212,0.002,0.001,0.012,0.004,0,0.004,0.003,0.006,0.002,0.016,0.005,0.007,0.012,0.01,0,0.003,0.001,0.002,0.002,122.299
