school,Room,Result,Sampler
Cabot School,Building 4A Floor 1 Art Room,120,vt
Cabot School,Building 4A Floor 1 Bathroom,55,vt
Cabot School,Building 4A Floor 1 Storage Closet,100,vt
Cabot School,Building 4B Floor 1 Main Room,0,vt
Cabot School,Building 4B 1st Floor Main Classroom,0,vt
Cabot School,Building 4B Floor 2 Main Room,0,vt
Cabot School,Building 4B  Foyer,0,vt
Cabot School,Building 4B Floor 1 Stairway,0,vt
Cabot School,Building 4B Floor 1 Storage Closet,0,vt
Cabot School,Building 4C Floor 2 Coat Room,0,vt
Cabot School,Building 4C Floor 2 Bathroom 1,0,vt
Cabot School,Building 4C Foyer,0,vt
Cabot School,Building 4D Floor 2 Bathroom 2,0,vt
Cabot School,Building 4D Floor 2 Main Room,0,vt
Cabot School,Building 4D Floor 1 Staff Room,0,vt
Cabot School,Field Blank,0,vt
Cabot School,GYM Gym,110,vt
Cabot School,GYM East Side Boys Room,13,vt
Cabot School,GYM Girls Locker Room,77,vt
Cabot School,GYM East Entry and Hallway,33,vt
Cabot School,GYM  North Entry and Lobby,36,vt
Cabot School,GYM Stairway,43,vt
Cabot School,GYM Floor 2 Mechanical/Storage Area,110,vt
Cabot School,Main Building Boys Bathroom,0,vt
Cabot School,Main Building Room 301,8.3,vt
Cabot School,Main Building Room 302,13,vt
Cabot School,Main Building Room 309,9.4,vt
Cabot School,Main Building Room 106 & 107,0,vt
Cabot School,Main Building Library,9.5,vt
Cabot School,Main Building Floor 1 Main Hallway,0,vt
Cabot School,Main Building Floor 2 Main Hallway,20,vt
Cabot School,Main Building Mechanical Room,0,vt
Cabot School,Main Building Mezzanine Entry,0,vt
Cabot School,Main Building Room 111 & 112,0,vt
Cabot School,Main Building Room 102,0,vt
Cabot School,Main Building  Science Room,0,vt
Cabot School,Main Building Science Room,0,vt
Cabot School,GYM Office,27,vt
Cabot School,GYM Stage,210,vt
Cabot School,GYM Storage Area Stage Right,110,vt
Oak Grove School,Boiler Room,0,vt
Oak Grove School,Classroom 202,0,vt
Oak Grove School,Classroom 202,9.7,vt
Oak Grove School,First floor copy room,0,vt
Oak Grove School,Facility Bathroom -Womens,0,vt
Oak Grove School,Facilty Bathroom - Girls,0,vt
Oak Grove School,Field Blank,0,vt
Oak Grove School,Gym,0,vt
Oak Grove School,Hall 01,0,vt
Oak Grove School,Kitchen,0,vt
Oak Grove School,First floor lobby,0,vt
Oak Grove School,Room 100,0,vt
Oak Grove School,Room 101,0,vt
Oak Grove School,Room 101A,0,vt
Oak Grove School,Room 103,0,vt
Oak Grove School,Room 112,110,vt
Oak Grove School,Room 112,95,vt
Oak Grove School,Room 112A,0,vt
Oak Grove School,Room 113,0,vt
Oak Grove School,Room 12,0,vt
Oak Grove School,Room 13,0,vt
Oak Grove School,Room 15A,0,vt
Oak Grove School,Room 201,0,vt
Oak Grove School,Room 203,120,vt
Oak Grove School,Room 205,0,vt
Oak Grove School,Southeast Stair,0,vt
Bethel Elementary and White River Middle Schools,3,0,vt
Bethel Elementary and White River Middle Schools,7,0,vt
Bethel Elementary and White River Middle Schools,10,4.7,vt
Bethel Elementary and White River Middle Schools,Middle School hallway,3,vt
Bethel Elementary and White River Middle Schools,12,14,vt
Bethel Elementary and White River Middle Schools,13,23,vt
Bethel Elementary and White River Middle Schools,17,12,vt
Bethel Elementary and White River Middle Schools,20,5.8,vt
Bethel Elementary and White River Middle Schools,24,10,vt
Bethel Elementary and White River Middle Schools,Middle school lobby,15,vt
Bethel Elementary and White River Middle Schools,31,12,vt
Bethel Elementary and White River Middle Schools,31B,15,vt
Bethel Elementary and White River Middle Schools,32,15,vt
Bethel Elementary and White River Middle Schools,32A,18,vt
Bethel Elementary and White River Middle Schools,Cafeteria,19,vt
Bethel Elementary and White River Middle Schools,34,18,vt
Bethel Elementary and White River Middle Schools,39,27,vt
Bethel Elementary and White River Middle Schools,41,22,vt
Bethel Elementary and White River Middle Schools,41,22,vt
Bethel Elementary and White River Middle Schools,43,20,vt
Bethel Elementary and White River Middle Schools,47,25,vt
Bethel Elementary and White River Middle Schools,48,22,vt
Bethel Elementary and White River Middle Schools,Elementary lobby,15,vt
Bethel Elementary and White River Middle Schools,1,5.1,vt
Bethel Elementary and White River Middle Schools,1,5.1,vt
Bethel Elementary and White River Middle Schools,35,11,vt
Bethel Elementary and White River Middle Schools,,0,vt
Alburgh Community Education Center,Gym,6.7,vt
Alburgh Community Education Center,Primary P3,8.1,vt
Alburgh Community Education Center,Primary P2,11,vt
Alburgh Community Education Center,P-classrooms instructional space,8.7,vt
Alburgh Community Education Center,Primary P1,12,vt
Alburgh Community Education Center,Boy's bathroom 1st Floor,8.9,vt
Alburgh Community Education Center,Cafeteria,5.2,vt
Alburgh Community Education Center,Sp.Ed. Office S5,21,vt
Alburgh Community Education Center,Classroom K2,15,vt
Alburgh Community Education Center,Classroom K1,7,vt
Alburgh Community Education Center,Classroom M2,9.6,vt
Alburgh Community Education Center,Classroom M3,8.5,vt
Alburgh Community Education Center,M-Classrooms Sp.Ed.,19,vt
Alburgh Community Education Center,Library,7.4,vt
Alburgh Community Education Center,Main Office O1,7,vt
Alburgh Community Education Center,Student support office adjacent library,0,vt
Alburgh Community Education Center,Staff Break Room (loft),6.8,vt
Alburgh Community Education Center,Hallway/Stairwell adjacent staff break room (loft),13,vt
Alburgh Community Education Center,Boiler Room (loft),7.9,vt
Alburgh Community Education Center,Classroom I4,9.7,vt
Alburgh Community Education Center,Classroom I2,15,vt
Alburgh Community Education Center,Staff Bathroom (men's) 2nd Floor,0,vt
Alburgh Community Education Center,Library (duplicate),8.5,vt
South Royalton Elementary and White River Valley High School,A-7,0,vt
South Royalton Elementary and White River Valley High School,A-7,2.9,vt
South Royalton Elementary and White River Valley High School,A-8A,0,vt
South Royalton Elementary and White River Valley High School,A-10,0,vt
South Royalton Elementary and White River Valley High School,A-13,0,vt
South Royalton Elementary and White River Valley High School,A-17,0,vt
South Royalton Elementary and White River Valley High School,HW-A,0,vt
South Royalton Elementary and White River Valley High School,A-1,0,vt
South Royalton Elementary and White River Valley High School,A-5,0,vt
South Royalton Elementary and White River Valley High School,A-4,0,vt
South Royalton Elementary and White River Valley High School,B-1,0,vt
South Royalton Elementary and White River Valley High School,B-4,5.5,vt
South Royalton Elementary and White River Valley High School,B-5,7,vt
South Royalton Elementary and White River Valley High School,B-7,9.4,vt
South Royalton Elementary and White River Valley High School,B-7,14,vt
South Royalton Elementary and White River Valley High School,B-10,9.2,vt
South Royalton Elementary and White River Valley High School,B-13,0,vt
South Royalton Elementary and White River Valley High School,B-14,0,vt
South Royalton Elementary and White River Valley High School,B-17,0,vt
South Royalton Elementary and White River Valley High School,HW-D,0,vt
South Royalton Elementary and White River Valley High School,D-1,2.4,vt
South Royalton Elementary and White River Valley High School,D-6,0,vt
South Royalton Elementary and White River Valley High School,BR,0,vt
South Royalton Elementary and White River Valley High School,C-1,0,vt
South Royalton Elementary and White River Valley High School,C-5,0,vt
South Royalton Elementary and White River Valley High School,C-6,0,vt
South Royalton Elementary and White River Valley High School,NA,0,vt
Cavendish Town Elementary,Mechanical Room,0,vt
Cavendish Town Elementary,Gym/Multipurpose,0,vt
Cavendish Town Elementary,Kitchen,0,vt
Cavendish Town Elementary,PE Office,0,vt
Cavendish Town Elementary,Main Hallway,0,vt
Cavendish Town Elementary,Main Office,0,vt
Cavendish Town Elementary,Nurse/Health Office,0,vt
Cavendish Town Elementary,Kindergarten,0,vt
Cavendish Town Elementary,Library,0,vt
Cavendish Town Elementary,Inner Library,0,vt
Cavendish Town Elementary,First Grade,0,vt
Cavendish Town Elementary,Third Grade,0,vt
Cavendish Town Elementary,Planning Room,0,vt
Cavendish Town Elementary,Boys Bathroom,0,vt
Cavendish Town Elementary,Art Room,0,vt
Cavendish Town Elementary,North End Hallway,0,vt
Cavendish Town Elementary,Fifth Grade,0,vt
Cavendish Town Elementary,Staff Room,0,vt
Cavendish Town Elementary,Learning Center,0,vt
Cavendish Town Elementary,Duplicate of 5105-CTE-AR),0,vt
Cavendish Town Elementary,Ambient,0,vt
Cavendish Town Elementary,Field Blank,0,vt
Barton Graded School,stairway a,3.4,vt
Barton Graded School,Reception,0,vt
Barton Graded School,kitchen,0,vt
Barton Graded School,elevator room,4.9,vt
Barton Graded School,CAFE,0,vt
Barton Graded School,boys bathroom and supply room,0,vt
Barton Graded School,attic,0,vt
Barton Graded School,4 hall,3.5,vt
Barton Graded School,2 hall,0,vt
Barton Graded School,403,3.8,vt
Barton Graded School,401,0,vt
Barton Graded School,304,3.3,vt
Barton Graded School,303,3.4,vt
Barton Graded School,301,0,vt
Barton Graded School,205,3.5,vt
Barton Graded School,204,0,vt
Barton Graded School,203,0,vt
Barton Graded School,202,0,vt
Barton Graded School,111,3.1,vt
Barton Graded School,104,0,vt
Barton Graded School,102,2.6,vt
Barton Graded School,101,4.8,vt
Barton Graded School,401,0,vt
Barton Graded School,111,3.1,vt
Barton Graded School,ambient,0,vt
Danville School,"Area A1, Floor 1, Room 101",0,vt
Danville School,"Area A1, Floor 1, Room 105",0,vt
Danville School,"Area A1, Floor 2, Room 202",10,vt
Danville School,"Area A1, Floor 2, Room 205",0,vt
Danville School,"Area A1, Floor 2, Special Needs Room",9.3,vt
Danville School,"Area A1, Floor 1, Main Hallway",0,vt
Danville School,"Area A1, Floor 1, Girls Room",0,vt
Danville School,"Area A1, Basement, Boiler Room",0,vt
Danville School,"Area A1, Basement, Electric Room",0,vt
Danville School,"Area A1, Floor 1-2, Stairwell",0,vt
Danville School,"Area A1, Floor 1, Side Hallway and Closets",0,vt
Danville School,"Area A2, Floor 1, Room 301",0,vt
Danville School,"Area A2, Floor 1, Room 306",0,vt
Danville School,"Area A2, Floor 2, Room 600",0,vt
Danville School,"Area A2, Floor 2, Room 602",0,vt
Danville School,"Area A2, Floor 1, Main Hall",0,vt
Danville School,"Area A2, Floor 2, Girls Room",0,vt
Danville School,"Area A2, Floor 1, Guidance Suite ",0,vt
Danville School,"Area A2, Floor 1, Main Office Hall",0,vt
Danville School,"Area A2, Floor 2, Auditorium Lobby ",18,vt
Danville School,"Area A2, Floor 2, Theater",28,vt
Danville School,"Area A2, Floor 1, Stairway ",0,vt
Danville School,"Area A3, Floor 1, Nurses Office",0,vt
Danville School,"Area A3, Floor 2, Room 503",7.3,vt
Danville School,"Area A3, Floor 2, Room 506",8.4,vt
Danville School,"Area A3, Floor 2, Library",0,vt
Danville School,"Area A3, Floor 1, Room 404",0,vt
Danville School,"Area A3, Floor 2, Mens Room",7.4,vt
Danville School,"Area A3, Floor 1, Glass Hallway",0,vt
Danville School,"Area A3, Floor 1, Kitchen",22,vt
Danville School,"Area A3, Floor 2, IT Room",0,vt
Danville School,"Area A3, Floor 1, Kitchen Storage Area",110,vt
Danville School,"Area A3, Floor 1, Food service Area",21,vt
Danville School,"Area A3, Floor 2, Custodial/storage",0,vt
Danville School,"Area A3, Floor 1, North Hallway",0,vt
Danville School,"Area A3, Floor 1, Electrical Room",92,vt
Danville School,"Area A1, Floor 1, Room 105",0,vt
Danville School,"Area A3, Floor 2, Library",0,vt
Poultney Elementary School,Room 204,65,vt
Poultney Elementary School,Room 207,64,vt
Poultney Elementary School,Room 209,20,vt
Poultney Elementary School,Room 214,94,vt
Poultney Elementary School,Room 218,93,vt
Poultney Elementary School,Library,67,vt
Poultney Elementary School,Main office,47,vt
Poultney Elementary School,Girls Bathroom 1,8.7,vt
Poultney Elementary School,Girls Bathroom 2,16,vt
Poultney Elementary School,Room 241,25,vt
Poultney Elementary School,Electrical Room,160,vt
Poultney Elementary School,Kitchen,19,vt
Poultney Elementary School,Room 227,68,vt
Poultney Elementary School,Room 244 Electrical/Storage,35,vt
Poultney Elementary School,Kindergarten ,13,vt
Poultney Elementary School,Room 224,31,vt
Poultney Elementary School,2nd floor storage ,47,vt
Poultney Elementary School,Gym,43,vt
Poultney Elementary School,Lobby,29,vt
Poultney Elementary School,Library,54,vt
Poultney Elementary School,Ambient,5.1,vt
Brownington Central School,Classroom,6.8,vt
Brownington Central School,Library,22,vt
Brownington Central School,Classroom,6.5,vt
Brownington Central School,Nurse,6.1,vt
Brownington Central School,girls bath,6.8,vt
Brownington Central School,utility closet,18,vt
Brownington Central School,hallway,5.5,vt
Brownington Central School,hallway,5.9,vt
Brownington Central School,Exterior,0,vt
Waterford Elementary School,Main Office,6.9,vt
Waterford Elementary School,Multipurpose Room,6.9,vt
Waterford Elementary School,Pre-K,6.9,vt
Waterford Elementary School,Grade 3,13,vt
Waterford Elementary School,Grade 5,9.5,vt
Waterford Elementary School,Mens Bathroom,6.9,vt
Waterford Elementary School,Gym,6.9,vt
Waterford Elementary School,Mechanical Room 1,7.4,vt
Waterford Elementary School,Mechanical Room 2,22,vt
Waterford Elementary School,Kitchen,6.9,vt
Waterford Elementary School,Lobby,6.9,vt
Waterford Elementary School,Rotunda ,8.4,vt
Waterford Elementary School,Pre-K,7.9,vt
Waterford Elementary School,Field Blank,6.9,vt
Bellows Free Academy Middle/Hs (Fairfax),217A,11,vt
Bellows Free Academy Middle/Hs (Fairfax),217,9.9,vt
Bellows Free Academy Middle/Hs (Fairfax),217B,6.4,vt
Bellows Free Academy Middle/Hs (Fairfax),213,17,vt
Bellows Free Academy Middle/Hs (Fairfax),210Ao,2.1,vt
Bellows Free Academy Middle/Hs (Fairfax),210Do,0,vt
Bellows Free Academy Middle/Hs (Fairfax),212,0,vt
Bellows Free Academy Middle/Hs (Fairfax),210,0,vt
Bellows Free Academy Middle/Hs (Fairfax),204A,12,vt
Bellows Free Academy Middle/Hs (Fairfax),203,5.1,vt
Bellows Free Academy Middle/Hs (Fairfax),206,0,vt
Bellows Free Academy Middle/Hs (Fairfax),302,0,vt
Bellows Free Academy Middle/Hs (Fairfax),301,2.5,vt
Bellows Free Academy Middle/Hs (Fairfax),303,0,vt
Bellows Free Academy Middle/Hs (Fairfax),306,0,vt
Bellows Free Academy Middle/Hs (Fairfax),MS/HS Office,0,vt
Bellows Free Academy Middle/Hs (Fairfax),401,2.2,vt
Bellows Free Academy Middle/Hs (Fairfax),402,0,vt
Bellows Free Academy Middle/Hs (Fairfax),405,0,vt
Bellows Free Academy Middle/Hs (Fairfax),408,0,vt
Bellows Free Academy Middle/Hs (Fairfax),267,4.3,vt
Bellows Free Academy Middle/Hs (Fairfax),265,4.8,vt
Bellows Free Academy Middle/Hs (Fairfax),263A,5.2,vt
Bellows Free Academy Middle/Hs (Fairfax),261,7.9,vt
Bellows Free Academy Middle/Hs (Fairfax),260,2.3,vt
Bellows Free Academy Middle/Hs (Fairfax),252,2.1,vt
Bellows Free Academy Middle/Hs (Fairfax),255O,2.5,vt
Bellows Free Academy Middle/Hs (Fairfax),351,0,vt
Bellows Free Academy Middle/Hs (Fairfax),357,0,vt
Bellows Free Academy Middle/Hs (Fairfax),365,0,vt
Bellows Free Academy Middle/Hs (Fairfax),355,0,vt
Bellows Free Academy Middle/Hs (Fairfax),361,0,vt
Bellows Free Academy Middle/Hs (Fairfax),354,0,vt
Bellows Free Academy Middle/Hs (Fairfax),362,3.6,vt
Bellows Free Academy Middle/Hs (Fairfax),451,0,vt
Bellows Free Academy Middle/Hs (Fairfax),455,0,vt
Bellows Free Academy Middle/Hs (Fairfax),454,0,vt
Bellows Free Academy Middle/Hs (Fairfax),B1,3,vt
Bellows Free Academy Middle/Hs (Fairfax),B2,3.6,vt
Bellows Free Academy Middle/Hs (Fairfax),C1,3.3,vt
Bellows Free Academy Middle/Hs (Fairfax),C2,0,vt
Bellows Free Academy Middle/Hs (Fairfax),203,4.9,vt
Early Essential Education/Burlington Preschool Program,5095-Hall1,0,vt
Early Essential Education/Burlington Preschool Program,5095-17,0,vt
Early Essential Education/Burlington Preschool Program,5095-19,0,vt
Early Essential Education/Burlington Preschool Program,5095-22,0,vt
Early Essential Education/Burlington Preschool Program,5095-Hall2,0,vt
Early Essential Education/Burlington Preschool Program,5095-Hall2-Dup-1,0,vt
Early Essential Education/Burlington Preschool Program,5095-28A,0,vt
Early Essential Education/Burlington Preschool Program,5095-28,0,vt
Early Essential Education/Burlington Preschool Program,5095-31,0,vt
Early Essential Education/Burlington Preschool Program,5095-35C,0,vt
Early Essential Education/Burlington Preschool Program,5095-42,0,vt
Early Essential Education/Burlington Preschool Program,5095-100A,0,vt
Early Essential Education/Burlington Preschool Program,5095-1D,0,vt
Early Essential Education/Burlington Preschool Program,5095-7,0,vt
Early Essential Education/Burlington Preschool Program,5095-Hall5-Dup-2,2.7,vt
Early Essential Education/Burlington Preschool Program,5095-Hall5,2.8,vt
Early Essential Education/Burlington Preschool Program,5095-8,0,vt
Early Essential Education/Burlington Preschool Program,5095-11,0,vt
Early Essential Education/Burlington Preschool Program,5095-1F,0,vt
Early Essential Education/Burlington Preschool Program,5095-2,0,vt
Early Essential Education/Burlington Preschool Program,5095-13,0,vt
Early Essential Education/Burlington Preschool Program,5095-34,0,vt
Early Essential Education/Burlington Preschool Program,5095-Penthouse,0,vt
Early Essential Education/Burlington Preschool Program,5095-9,0,vt
Early Essential Education/Burlington Preschool Program,5095-Ext.(Ambient),0,vt
Montessori of Central Vermont,23,0,vt
Montessori of Central Vermont,22,0,vt
Montessori of Central Vermont,18,3,vt
Montessori of Central Vermont,27,2.9,vt
Montessori of Central Vermont,27,0,vt
Montessori of Central Vermont,11,0,vt
Montessori of Central Vermont,6,0,vt
Montessori of Central Vermont,16,0,vt
Montessori of Central Vermont,10,0,vt
Montessori of Central Vermont,3,0,vt
Montessori of Central Vermont,NA,0,vt
Monument Elementary,101,20,vt
Monument Elementary,104,15,vt
Monument Elementary,105,19,vt
Monument Elementary,108,9.3,vt
Monument Elementary,112,36,vt
Monument Elementary,114,12,vt
Monument Elementary,115,23,vt
Monument Elementary,117,32,vt
Monument Elementary,119,14,vt
Monument Elementary,120,23,vt
Monument Elementary,124b,6.7,vt
Monument Elementary,127,32,vt
Monument Elementary,129,0,vt
Monument Elementary,,4.3,vt
Monument Elementary,132,13,vt
Monument Elementary,134,24,vt
Monument Elementary,HALL1,18,vt
Monument Elementary,LB1,20,vt
Fletcher Elementary School,5152-105,0,vt
Fletcher Elementary School,5152-106,0,vt
Fletcher Elementary School,5152-107,0,vt
Fletcher Elementary School,5152-108,0,vt
Fletcher Elementary School,5152-109,0,vt
Fletcher Elementary School,5152-110,0,vt
Fletcher Elementary School,5152-110D,0,vt
Fletcher Elementary School,5152-111,0,vt
Fletcher Elementary School,5152-112,0,vt
Fletcher Elementary School,5152-Janitor Room,0,vt
Fletcher Elementary School,5152-Staff Bathroom,0,vt
Fletcher Elementary School,5152-Water Room,0,vt
Fletcher Elementary School,5152-Storage,0,vt
Fletcher Elementary School,5152-Main Hall South,0,vt
Fletcher Elementary School,5152-Ambient,0,vt
Newport City Elem Schools,Women's bath,0,vt
Newport City Elem Schools,Gym,0,vt
Newport City Elem Schools,Electrical storage,2.9,vt
Newport City Elem Schools,Music,0,vt
Newport City Elem Schools,Art room ,0,vt
Newport City Elem Schools,Zone 2 Hallway,0,vt
Newport City Elem Schools,Class 205,0,vt
Newport City Elem Schools,Class 208,0,vt
Newport City Elem Schools,Boys bathroom,0,vt
Newport City Elem Schools,Class 213,0,vt
Newport City Elem Schools,Janitor closet 220,0,vt
Newport City Elem Schools,Attic,11,vt
Newport City Elem Schools,Storage of flooring types,0,vt
Newport City Elem Schools,Hallway/ stairs,0,vt
Newport City Elem Schools,Entryway,13,vt
Newport City Elem Schools,Office 201,0,vt
Newport City Elem Schools,Pantry,6.1,vt
Newport City Elem Schools,Class 103,5.4,vt
Newport City Elem Schools,Class 111,7,vt
Newport City Elem Schools,Class 112,5,vt
Newport City Elem Schools,Class 125,20,vt
Newport City Elem Schools,Class 130,3.8,vt
Newport City Elem Schools,Office 135,6.4,vt
Newport City Elem Schools,Old boiler,9.3,vt
Newport City Elem Schools,Office 143,3.8,vt
Newport City Elem Schools,Main office,4.7,vt
Newport City Elem Schools,Auditorium/cafeteria 153,0,vt
Newport City Elem Schools,Office 118B,3.5,vt
Newport City Elem Schools,Kitchen,4.2,vt
Newport City Elem Schools,Kitchen Office,8.2,vt
Newport City Elem Schools,Janitor closet 120,31,vt
Newport City Elem Schools,Utility,0,vt
Newport City Elem Schools,Electrical closet 117B,27,vt
Newport City Elem Schools,Hallway  Zone 4 Hall,4.5,vt
Newport City Elem Schools,Girls bath,34,vt
Newport City Elem Schools,Class 125,24,vt
Newport City Elem Schools,Auditorium/cafeteria 153,3.9,vt
Newport City Elem Schools,Field Blank,0,vt
Charlotte Central School,Cafeteria,0,vt
Charlotte Central School,Custodians office,0,vt
Charlotte Central School,Kitchen,110,vt
Charlotte Central School,Library main room,0,vt
Charlotte Central School,Library confrence room,0,vt
Charlotte Central School,Library office B,0,vt
Charlotte Central School,Library staircase/Exit,0,vt
Charlotte Central School,Caffeteria area storage closet,0,vt
Charlotte Central School,Caffeteria area storage closet,0,vt
Charlotte Central School,Classroom 101,0,vt
Charlotte Central School,Classroom 104,0,vt
Charlotte Central School,Classroom 107,14,vt
Charlotte Central School,Classroom 112,8.7,vt
Charlotte Central School,Classroom 113,0,vt
Charlotte Central School,Boiler room,67,vt
Charlotte Central School,Elevator uility room,0,vt
Charlotte Central School,First floor girls bathroom ,0,vt
Charlotte Central School,First floor Hall way Right,18,vt
Charlotte Central School,First floor Hall way Left,0,vt
Charlotte Central School,IT closet,9.8,vt
Charlotte Central School,Copy room,0,vt
Charlotte Central School,Reception office,0,vt
Charlotte Central School,Nurses office,0,vt
Charlotte Central School,Cafeteria Main area,0,vt
Charlotte Central School,Classroom 101,0,vt
Charlotte Central School,Exterior Custodial Office Entrance,0,vt
Soar Learning Center,"Office, Room #14",93,vt
Soar Learning Center,"Art Room, Room #12",46,vt
Soar Learning Center,"Art Room, Room #12",43,vt
Soar Learning Center,"Elimentary IWR Room, Room #16",6.8,vt
Soar Learning Center,"Storage closet,Room# 19",6.6,vt
Soar Learning Center,"Bathroom, Room #10, Boys",34,vt
Soar Learning Center,"Hallway,Room# Hall A",44,vt
Soar Learning Center,"Classroom, Room #7",81,vt
Soar Learning Center,"Counsling office,Room# 5",110,vt
Soar Learning Center,"Classroom , Room #3",63,vt
Soar Learning Center,"Library,Room# 2",79,vt
Soar Learning Center,"janitorial storage,Room# 1",14,vt
Soar Learning Center,"Boiler room,Room# 1b ",12,vt
Soar Learning Center,"Exterior, Room #1A",0,vt
Soar Learning Center,"Office, Room # 20",35,vt
Soar Learning Center,"Vestibule,Room# vestibule",23,vt
Soar Learning Center,"Office,Room# nurse",10,vt
Soar Learning Center,"HS IWR Room, Room #21",3.2,vt
Soar Learning Center,"Bathroom, Room #23, Boys",6.7,vt
Soar Learning Center,"Office,Room# 26",3,vt
Soar Learning Center,"Classroom ,Room# 25",3.7,vt
Soar Learning Center,"Classroom ,Room# 25",3.6,vt
Soar Learning Center,"GYM,Room# GYM",2.4,vt
Soar Learning Center,"Hallway,Room# Hall D",2.7,vt
Soar Learning Center,"Storage,Room# gym storage",3.6,vt
Soar Learning Center,"Bathroom, Room # 40, Girls",3.2,vt
Soar Learning Center,"Classroom,Room# 31",3.3,vt
Soar Learning Center,"Kitchen,Room# 35",0,vt
Soar Learning Center,"Electrical room,Room# 1E",0,vt
Twinfield Us #33,Room 102,28,vt
Twinfield Us #33,Room 103,37,vt
Twinfield Us #33,Room 104,11,vt
Twinfield Us #33,Rooms 105-112,24,vt
Twinfield Us #33,Room 114,31,vt
Twinfield Us #33,Room 201,18,vt
Twinfield Us #33,Room 207,20,vt
Twinfield Us #33,Room 212,30,vt
Twinfield Us #33,Electrical Room,14,vt
Twinfield Us #33,Gym Storage Room 2,30,vt
Twinfield Us #33,Girls Bathroom,8.3,vt
Twinfield Us #33,Mens Bathroom,8.2,vt
Twinfield Us #33,Girls Locker Room,19,vt
Twinfield Us #33,Air Handler Attic,230,vt
Twinfield Us #33,Gym,7.1,vt
Twinfield Us #33,Kitchen,7.2,vt
Twinfield Us #33,Library,25,vt
Twinfield Us #33,North Hallway,11,vt
Twinfield Us #33,Cafeteria,9.7,vt
Twinfield Us #33,Library,29,vt
Twinfield Us #33,Ambient,0,vt
Concord School,2,2.2,vt
Concord School,6,19,vt
Concord School,10,21,vt
Concord School,11,8.5,vt
Concord School,7,18,vt
Concord School,Kitchen Storage,21,vt
Concord School,19,0,vt
Concord School,Main Hall 2 FLR,5.2,vt
Concord School,17,6.8,vt
Concord School,14,3.4,vt
Concord School,12,2.9,vt
Concord School,28,6.2,vt
Concord School,24,1.9,vt
Concord School,Boys BR 3 FLR,8.6,vt
Concord School,27,3.8,vt
Concord School,22,2.2,vt
Concord School,Ambient,0,vt
Concord School,CO,5.4,vt
Concord School,closet 3 FLR,7.1,vt
Concord School,Gym,6.4,vt
Concord School,31,4.3,vt
Concord School,31,3.9,vt
Concord School,30,57,vt
Concord School,33,12,vt
Westminster Schools,116a,0,vt
Westminster Schools,124 bath,0,vt
Westminster Schools,Staff bath,0,vt
Westminster Schools,4,0,vt
Westminster Schools,105,0,vt
Westminster Schools,108,0,vt
Westminster Schools,Main Hallway,0,vt
Westminster Schools,102,0,vt
Westminster Schools,120,0,vt
Westminster Schools,124,0,vt
Westminster Schools,125,0,vt
Westminster Schools,Dining Rm,0,vt
Westminster Schools,Quiet room ,0,vt
Westminster Schools,119,0,vt
Westminster Schools,Dining Rm,0,vt
Westminster Schools,,0,vt
Westminster Schools,,0,vt
Sustainability Academy At Lawrence Barnes,207,0,vt
Sustainability Academy At Lawrence Barnes,205,0,vt
Sustainability Academy At Lawrence Barnes,212(server room),0,vt
Sustainability Academy At Lawrence Barnes,209(Girls Room),0,vt
Sustainability Academy At Lawrence Barnes,212(Library),0,vt
Sustainability Academy At Lawrence Barnes,2000(Hallway),0,vt
Sustainability Academy At Lawrence Barnes,203,0,vt
Sustainability Academy At Lawrence Barnes,201,0,vt
Sustainability Academy At Lawrence Barnes,2000A(Stairway Vestibule),0,vt
Sustainability Academy At Lawrence Barnes,117,0,vt
Sustainability Academy At Lawrence Barnes,116,0,vt
Sustainability Academy At Lawrence Barnes,113,0,vt
Sustainability Academy At Lawrence Barnes,112(Teachers Lounge),0,vt
Sustainability Academy At Lawrence Barnes,111D(Small Classroom/Office),0,vt
Sustainability Academy At Lawrence Barnes, 111E(Small Bathroom),0,vt
Sustainability Academy At Lawrence Barnes,106(Gymnasium),0,vt
Sustainability Academy At Lawrence Barnes,DUP-01(Chair/Gym),0,vt
Sustainability Academy At Lawrence Barnes,107(Storage/Office Space),0,vt
Sustainability Academy At Lawrence Barnes,105(Bathroom),0,vt
Sustainability Academy At Lawrence Barnes,Lobby Closet,0,vt
Sustainability Academy At Lawrence Barnes,Reception (101),0,vt
Sustainability Academy At Lawrence Barnes,Boiler room,0,vt
Sustainability Academy At Lawrence Barnes,Field blank,0,vt
Twin Valley Elementary,Gym Stage,410,vt
Twin Valley Elementary,Kitchen,65,vt
Twin Valley Elementary,Gentlemen bathroom,68,vt
Twin Valley Elementary,Entry hallway,56,vt
Twin Valley Elementary,154,450,vt
Twin Valley Elementary,190,99,vt
Twin Valley Elementary,Boiler Room,830,vt
Twin Valley Elementary,111,36,vt
Twin Valley Elementary,119,20,vt
Twin Valley Elementary,122,13,vt
Twin Valley Elementary,127,24,vt
Twin Valley Elementary,141,90,vt
Twin Valley Elementary,148,0,vt
Twin Valley Elementary,156,370,vt
Twin Valley Elementary,161,11,vt
Twin Valley Elementary,162,6.7,vt
Twin Valley Elementary,168,46,vt
Twin Valley Elementary,Gym - library Hallway,580,vt
Twin Valley Elementary,Nurse Bathroom,77,vt
Twin Valley Elementary,West hallway,36,vt
Twin Valley Elementary,Gym Storage,150,vt
Twin Valley Elementary,132,570,vt
