congener,orthos,MW,RRT,koa.25,koa.old,kpuf
89,3,326.4331,0.4746,7.984554861,9.108218928,1838842.2
90,2,326.4331,0.4747,8.279554861,9.109638965,2840728.4
91,3,326.4331,0.4645,7.979554861,8.964795166,1825414.4
92,2,326.4331,0.4712,8.323554861,9.059937662,3029982.5
93,3,326.4331,0.4606,7.896554861,8.909413713,1616306.3
94,3,326.4331,0.4552,7.925554861,8.832731702,1686495
95,3,326.4331,0.4607,8.041554861,8.910833751,1999082.3
96,4,326.4331,0.4444,7.485554861,8.679367679,882658.7
97,2,326.4331,0.4872,8.423554861,9.287143621,3508327.4
98,3,326.4331,0.4591,7.925554861,8.888113155,1686495
99,2,326.4331,0.4778,8.381554861,9.15366012,3298852.7
100,3,326.4331,0.4501,7.868554861,8.760309802,1551311
101,2,326.4331,0.4746,8.378554861,9.108218928,3284377.9
102,3,326.4331,0.4594,7.979554861,8.892373266,1825414.4
103,3,326.4331,0.4458,7.906554861,8.699248201,1640173
104,4,326.4331,0.4313,7.328554861,8.4933428,701207.6
105,1,326.4331,0.5267,9.041554861,10.06824963,8701761.4
106,1,326.4331,0.5115,8.811554861,9.865666275,6211395.3
107,1,326.4331,0.5085,8.896554861,9.825682718,7035584.3
108,1,326.4331,0.5087,8.853554861,9.828348289,6605814.4
109,2,326.4331,0.4843,8.418554861,9.245962541,3482708.4
110,2,326.4331,0.4961,8.575554861,9.413526937,4383927.1
111,1,326.4331,0.4908,8.722554861,9.589779732,5451697.8
112,2,326.4331,0.4829,8.412554861,9.22608202,3452212.5
113,2,326.4331,0.4767,8.415554861,9.13803971,3467426.9
114,1,326.4331,0.5178,8.883554861,9.949631745,6902785.4
115,2,326.4331,0.4909,8.488554861,9.339685,3859038.6
116,2,326.4331,0.4892,8.247554861,9.315544366,2710556.8
117,2,326.4331,0.4899,8.466554861,9.325484627,3736576.9
118,1,326.4331,0.5114,9.029554861,9.86433349,8550036.5
119,2,326.4331,0.4815,8.476554861,9.206201498,3791752
120,1,326.4331,0.4926,8.788554861,9.613769866,6005475.1
121,2,326.4331,0.4624,8.281554861,8.934974384,2849068.7
122,1,326.4331,0.5192,8.929554861,9.968290738,7384276.8
123,1,326.4331,0.51,8.887554861,9.845674497,6943377.4
124,1,326.4331,0.5065,8.886554861,9.799027013,6933207.1
125,2,326.4331,0.4888,8.439554861,9.309864217,3591581.4
126,0,326.4331,0.5455,9.365554861,10.31881326,14026645.5
127,0,326.4331,0.5269,9.145554861,10.0709152,10160189.8
128,2,360.87816,0.5559,9.112554861,10.26270921,9669363.3
129,2,360.87816,0.5449,8.972554861,10.10650511,7875422.8
130,2,360.87816,0.5372,9.005554861,9.997162246,8265738.8
131,3,360.87816,0.5192,8.584554861,9.741555541,4448205.3
132,3,360.87816,0.5262,8.661554861,9.840958148,4979698.2
133,2,360.87816,0.5175,8.939554861,9.717414908,7503537.8
134,3,360.87816,0.5165,8.577554861,9.703214535,4402796.6
135,3,360.87816,0.5059,8.599554861,9.552690587,4547092.9
136,4,360.87816,0.4945,8.100554861,9.390806341,2182640.3
137,2,360.87816,0.5358,8.949554861,9.977281724,7614336.7
138,2,360.87816,0.5404,9.104554861,10.04260344,9556636.7
139,3,360.87816,0.5105,8.541554861,9.6180123,4176485.9
140,3,360.87816,0.5123,8.570554861,9.643572971,4357851.5
141,2,360.87816,0.5318,8.968554861,9.920480234,7829381.9
142,3,360.87816,0.5197,8.400554861,9.748655727,3396647.1
143,3,360.87816,0.5158,8.519554861,9.693274274,4043950.4
144,3,360.87816,0.5063,8.587554861,9.558370736,4467809.3
145,4,360.87816,0.4903,7.966554861,9.331164776,1793402.5
146,2,360.87816,0.5212,9.005554861,9.769956286,8265738.8
147,3,360.87816,0.5082,8.529554861,9.585351444,4103664.3
148,3,360.87816,0.4925,8.485554861,9.362405596,3847347.6
149,3,360.87816,0.5104,8.683554861,9.616592263,5142901.7
150,4,360.87816,0.482,8.004554861,9.213301685,1896132
151,3,360.87816,0.5036,8.576554861,9.52002973,4396347.6
152,4,360.87816,0.4864,7.977554861,9.275783323,1822553.9
153,2,360.87816,0.5245,9.091554861,9.816817515,9376252.1
154,3,360.87816,0.4967,8.566554861,9.42204716,4332374.8
155,4,360.87816,0.4691,7.873554861,9.03011688,1564854.5
156,1,360.87816,0.569,9.621554861,10.63201779,20441630.2
157,1,360.87816,0.5725,9.641554861,10.67866527,21049778.4
158,2,360.87816,0.541,9.190554861,10.05112366,10840583.9
159,1,360.87816,0.55,9.436554861,10.37878859,15586353.7
160,2,360.87816,0.5416,8.988554861,10.05964388,8062309.7
161,2,360.87816,0.5223,9.013554861,9.785576696,8363238.4
162,1,360.87816,0.5531,9.509554861,10.42010493,17346678.4
163,2,360.87816,0.5401,9.159554861,10.03834333,10359005.8
164,2,360.87816,0.54,9.162554861,10.03692329,10404659.6
165,2,360.87816,0.52,8.998554861,9.752915839,8181359.5
166,2,360.87816,0.5497,9.053554861,10.1746669,8868261.2
167,1,360.87816,0.5564,9.617554861,10.46408685,20322125.4
168,2,360.87816,0.5263,9.057554861,9.842378186,8920411.2
169,0,360.87816,0.5904,9.994554861,10.91723383,35404264.7
170,2,395.32322,0.5951,9.717554861,10.81936381,23562492.7
171,3,395.32322,0.5688,9.261554861,10.44589402,12046014.5
172,2,395.32322,0.5751,9.642554861,10.53535636,21109416.7
173,3,395.32322,0.5722,9.147554861,10.49417528,10192271.4
174,3,395.32322,0.5631,9.270554861,10.36495189,12205983.6
175,3,395.32322,0.5484,9.209554861,10.15620642,11161952.8
176,4,395.32322,0.5369,8.675554861,9.992902134,5089879.8
177,3,395.32322,0.5662,9.255554861,10.40897305,11940534.9
178,3,395.32322,0.5454,9.199554861,10.1136053,10999531.3
179,4,395.32322,0.533,8.678554861,9.937520681,5112311.8
180,2,395.32322,0.5787,9.717554861,10.5864777,23562492.7
181,3,395.32322,0.564,9.136554861,10.37773223,10029248.3
182,3,395.32322,0.55,9.178554861,10.17892701,10666098.3
183,3,395.32322,0.5529,9.284554861,10.22010809,12459057.3
184,4,395.32322,0.5247,8.577554861,9.81965759,4408803.4
185,3,395.32322,0.5589,9.167554861,10.30531033,10495496.3
186,4,395.32322,0.5422,8.512554861,10.06816411,4008129.4
187,3,395.32322,0.55,9.251554861,10.17892701,11870728.8
188,4,395.32322,0.5209,8.561554861,9.765696174,4306605.9
189,1,395.32322,0.6108,9.275554861,11.18912201,12357547.4
190,2,395.32322,0.5958,9.798554861,10.82930407,26532968
191,2,395.32322,0.5825,9.814554861,10.64043912,27162605.9
192,2,395.32322,0.5755,9.626554861,10.54103651,20620093.6
193,2,395.32322,0.5802,9.780554861,10.60777826,25842054.2
194,2,429.76828,0.6297,10.36255486,11.3106967,60884758.7
195,3,429.76828,0.6191,9.874554861,11.16017275,29700211.3
196,3,429.76828,0.6029,9.922554861,10.93012672,31865177.2
197,4,429.76828,0.5768,9.284554861,10.559497,12476055.2
198,3,429.76828,0.598,9.820554861,10.86054489,27439938.8
199,3,429.76828,0.5997,9.232554861,10.88468553,11589437
200,4,429.76828,0.5854,9.277554861,10.6816202,12348695.7
201,4,429.76828,0.5726,9.892554861,10.49985543,30417960.2
202,4,429.76828,0.5662,9.279554861,10.40897305,12384950.8
203,3,429.76828,0.6026,9.891554861,10.92586661,30449610.3
204,4,429.76828,0.5739,9.151554861,10.51831592,10266194.5
205,2,429.76828,0.6328,10.44755486,11.35471786,68963546.8
206,3,464.21334,0.6497,10.53755486,11.59470415,78796276.3
207,4,464.21334,0.6227,9.900554861,11.21129409,30896070.2
208,4,464.21334,0.6184,9.875554861,11.15023249,29784358
209,4,498.6584,0.666,10.51655486,11.82617022,76511937.6
