bid,sid,sampletype,room,materials,school,1,2,3,4,5,6,7,8,9,10,11,12+13,14,15,16,17,18+30,19,20+28,21+33,22,23,24,25,26+29,27,31,32,34,35,36,37,38,39,40+71,41,42,43,44+47+65,45,46,48,49+69,50+53,51,52,54,55,56,57,58,59+62+75,60,61+70+74+76,63,64,66,67,68,72,73,77,78,79,80,81,82,83,84,85+116,86+97+109+119,87+125,88,89,90+101+113,91,92,93+100,94,95,96,98,99,102,103,104,105,106,107,108+124,110,111,112,114,115,117,118,120,121,122,123,126,127,128+166,129+138+163,130,131,132,133,134,135+151,136,137,139+140,141,142,143,144,145,146,147+149,148,150,152,153+168,154,155,156+157,158,159,160,161,162,164,165,167,169,170,171+173,172,174,175,176,177,178,179,180+193,181,182,183,184,185,186,187,188,189,190,191,192,194,195,196,197,198+199,200,201,202,203,205,206,207,208,209
BF01,S620,Air,Utility,Air,Bellows Falls UHS #27,3.14933031,0.214812431,1.078912838,1.058403944,0.079945907,0.372618494,0.15528354,1.35768876,0.189430675,0.071322807,0.059082967,0.099827746,0.000393237,0.267524435,0.187683695,0.192395504,0.453841055,0.068594501,0.325512322,0.239845908,0.138250167,0.000890266,0.006752957,0.031620523,0.065430198,0.02856258,0.389727929,0.114800822,0.001448565,0.004434584,0.000202826,0.064932628,0.001990625,0.00021883,0.219599451,0.043121804,0.1340519,0.019407716,0.937262985,0.100524006,0.035073408,0.107396299,0.546556256,0.116681313,0.01463092,2.79009878,0.001530655,0.004537084,0.15796038,0.000847955,0.000523391,0.033695047,0.098134133,1.485540324,0.023510422,0.342611777,0.385243759,0.008249157,0.002239676,0.001355706,0.002889561,0.009906284,0.0004941,0.02166951,0.0002632,0.002148851,0.224723671,0.118997847,0.762471802,0.269987662,0.589042204,0.850897277,0.008989393,0.025783303,2.530419981,0.355488936,0.546669499,0.019373783,0.012286649,3.075342314,0.027027573,0.003417204,0.928004083,0.076596056,0.016279479,0.000138266,0.376789569,0.000415743,0.060774154,0.049467952,1.82965395,5.53E-05,0.001498942,0.025565773,0.054218455,0.04752504,1.027577392,0.000252969,0.000263815,0.017827647,0.014898729,0.001024367,0.000137014,0.118168401,0.878419155,0.066584337,0.0321005,0.462978232,0.016987722,0.101945902,0.414867885,0.299169751,0.067726706,0.038194482,0.164595781,0.000885853,0.006052397,0.085021437,0.002371091,0.113950869,0.943029867,0.001508961,0.003040328,0.003673381,0.684673842,0.011553006,0.000210203,0.068167065,0.094156564,0.000861468,3.27E-05,0.000356962,0.002390414,0.052474396,0.000491534,0.025971269,0.000251438,0.038882924,0.028468352,0.01015236,0.064328007,0.004569535,0.018602486,0.038241687,0.015516868,0.041215825,0.085079358,0.001354505,0.001269894,0.044513949,0.001403451,0.003451679,0.000290804,0.075821546,0.000348916,0.001973267,0.010871136,0.001705618,0.000146632,0.008346577,0.006356512,0.00719162,0.000377464,0.022690782,0.00106909,0.00322584,0.009103066,0.015351822,0.001142084,0.004173314,0.002290428,0.005190753,0.005642762
BF02,S643,Air,Aud,Air,Bellows Falls UHS #27,0.450359696,0.055092199,0.280085453,0.1992897,0.026079888,0.122381111,0.041488688,0.410608769,0.048662611,0.014946074,0.064578646,0.046449396,0.000376371,0.130352318,0.090849809,0.088066642,0.214822384,0.021287123,0.204142343,0.141652547,0.09034089,0.000414676,0.003955777,0.015661405,0.032939393,0.014024508,0.243846928,0.058698546,0.000772254,0.003199677,0.000227496,0.042123887,0.002740791,0.000260869,0.250362265,0.042501005,0.14245109,0.019239692,1.181961898,0.079967024,0.025537362,0.099279716,0.638102362,0.093101387,0.008425296,3.406179077,0.000993776,0.003605998,0.190430915,0.001615555,0.000275085,0.032420063,0.11328495,2.367995312,0.031092816,0.444042295,0.539775498,0.009749002,0.001484213,0.001055608,0.003857021,0.013829948,0.001428297,0.032351685,0.000507222,0.000996528,0.335859852,0.147156611,1.055631111,0.392527546,0.865443681,1.187935194,0.01714875,0.042631132,3.745118549,0.461277957,0.808697338,0.018055916,0.015677297,4.366061191,0.031023502,0.005414083,1.371373021,0.100275329,0.021842941,8.52E-05,0.572506885,0.000768467,0.117420587,0.097048272,2.867185815,0.0002557,0.002292973,0.048351647,0.078259878,0.062324843,1.862945664,0.002104171,0.000292585,0.028321348,0.029246088,0.001058111,0.000633147,0.153090626,1.365062793,0.100561397,0.057501946,0.778157561,0.027849382,0.180134732,0.674315265,0.456711998,0.113887499,0.069558862,0.241731695,0.002966082,0.008694257,0.139878851,0.003242007,0.185595067,1.588236717,0.002958183,0.004590396,0.00669127,1.05236341,0.021607646,0.000344001,0.076295611,0.14887581,0.000266001,5.35E-05,0.000101596,0.003553138,0.072630798,0.000328681,0.030524551,0.000209775,0.03434988,0.027349721,0.003796528,0.058386369,0.005224583,0.019215185,0.037529043,0.014676348,0.049894601,0.061549219,0.001465958,0.001593223,0.044515789,0.001990028,0.002799524,0.000373076,0.067129694,0.000608248,0.002894171,0.008888786,0.00073503,5.16E-05,0.006808425,0.005301585,0.005737609,0.000674287,0.011829952,0.000991284,0.002598383,0.00557524,0.009895939,0.000492147,0.001357171,0.001582811,0.001349052,0.002811541
BF03,S644,Emissions,Aud,Carpet,Bellows Falls UHS #27,16.61236671,3.62671383,20.30410447,8.365677052,1.996140213,9.693023914,3.180722958,37.26442624,3.553065016,0.692179235,6.209294224,6.978096149,0.001896066,21.54721871,8.981296408,7.188794812,16.3944176,1.324434517,28.17276301,19.33378924,12.19658587,0.005475781,0.2123784,2.260055234,4.957251728,1.231903258,33.33598787,6.162315931,0.077701699,0.476228744,0.002431954,6.301501857,0.213257432,0.005272062,29.7837207,5.062850673,15.54786178,2.050873931,130.7227484,7.592380658,2.75246007,11.24083529,72.76451174,8.693003704,1.378322275,369.5014754,0.04193664,0.376366744,23.77904629,0.030064246,0.005785471,3.30099351,14.0443461,285.0559426,3.690756289,54.77839329,67.02316117,0.887616304,0.018217243,0.179154832,0.478171252,1.228243939,0.005552007,0.007607185,0.004410811,0.019955742,30.24557795,16.01578374,109.3990345,37.14179896,84.26486146,125.4201868,0.407080506,4.075771719,367.466947,48.86636035,79.22442254,1.865957778,1.474115168,440.124054,2.506186456,0.243751276,135.4745593,10.58636884,2.107135609,0.003831842,43.61936134,0.013141895,8.44850061,7.274618814,258.6291029,0.010218751,0.083720583,3.203390278,1.554755783,6.780435979,137.8225373,0.011953479,0.003941893,1.797275643,2.457184055,0.005329066,0.01573673,8.334666168,77.99262525,6.207823009,3.85739205,49.03411544,1.82184869,12.26882606,51.27947831,36.60650763,6.978423416,4.795412058,15.35050045,0.02358495,0.584089782,10.67196937,0.213524413,12.47682343,114.3415954,0.141510191,0.338747603,0.468120494,70.10154764,1.611658705,0.001367662,3.561940545,8.966296045,0.003610775,0.010404684,0.003646248,0.019578778,4.222215793,0.004151387,1.568604004,0.005174529,0.79479496,1.150132343,0.254500419,2.760845914,0.271469576,1.240038598,1.550885713,0.876127311,3.150404093,2.198806323,0.050069257,0.054547618,2.406519518,0.117873532,0.293863537,0.003748027,3.794743145,0.070367134,0.011269935,0.228543781,0.031395771,0.002971089,0.068315524,0.015873793,0.146160675,0.007950438,0.46194419,0.017081915,0.039621847,0.065439847,0.207581791,0.011062643,0.082495355,0.071837683,0.10022686,0.060208305
BF04,S646,Emissions,Aud,Carpet,Bellows Falls UHS #27,19.10202017,3.845162791,19.08352626,9.607689269,1.711251927,9.258175323,3.110475476,33.94346311,3.450220504,0.753199329,4.856881261,5.021941912,0.009260097,14.98192405,7.073990913,6.839605846,16.90414724,1.228334788,21.37382367,14.62167923,8.635296831,0.007369179,0.311196209,1.861990755,3.717648603,1.145276045,24.31152806,5.178990085,0.004789325,0.234624604,0.002579501,4.181826616,0.10712511,0.006399041,19.2787713,3.099325955,10.39420855,1.279503316,88.96683365,5.401845807,1.897966025,7.96091258,49.26346599,6.133581968,0.748284435,243.8636829,0.003382043,0.047566446,11.95921424,0.004858567,0.003163745,2.029068826,6.921107652,147.1479898,2.089084401,36.28421193,35.07851813,0.287337415,0.003693718,0.005381409,0.544772997,0.475477553,0.004842259,0.006390627,0.008351501,0.00496169,15.06572656,7.667190862,59.62785652,18.27059471,46.53786831,66.85299581,0.154573072,2.258841344,187.0717571,26.61744495,43.38435715,1.284947107,0.753887432,254.3363253,1.917659477,0.096404795,79.25672866,6.302682094,1.262391295,0.012848313,20.07558495,0.008761244,3.982102936,3.992600431,130.2697586,0.006079322,0.025564827,1.673044701,0.427521966,3.055423803,68.42318163,0.007274565,0.003234413,0.937812745,0.982707398,0.005513411,0.011474299,3.89778276,36.93142595,3.098947146,2.035554919,25.7285603,0.934954972,6.534665207,26.7086419,20.19933227,3.573384706,2.466153742,8.064364788,0.00544963,0.317747683,5.383297967,0.069751668,6.198569274,57.93370395,0.079412762,0.239049024,0.243282748,35.52710341,0.812136466,0.00111696,1.666482571,4.198762692,0.003212856,0.006353556,0.004344749,0.008487366,2.236147158,0.002638044,0.749406524,0.005538436,0.134268809,0.536650031,0.111321561,1.223236403,0.04298428,0.652852927,0.656956393,0.405886855,1.52293299,1.06115069,0.010306306,0.042931106,1.119204793,0.098426204,0.09573824,0.007714979,1.645991958,0.049722706,0.017398606,0.025149136,0.005619596,0.00458679,0.022143527,0.008575449,0.009668562,0.010737601,0.202763149,0.004614055,0.027242455,0.105047018,0.141825703,0.008964505,0.009817313,0.005382706,0.018196993,0.066483171
BF05,S647,Emissions,Aud,Carpet,Bellows Falls UHS #27,17.30861764,3.565832375,18.74049036,7.468538216,1.699881515,8.719735517,2.660724735,30.42450738,3.0250294,0.544935514,5.03935192,5.121347313,0.001715841,16.71260822,7.530247572,6.525699811,15.25578373,1.075718143,22.47615896,15.78298807,9.998427393,0.008868538,0.289196541,1.896230959,3.852478025,0.995799075,27.14904384,4.893685529,0.053553895,0.316783561,0.002925476,6.025228661,0.20852116,0.005560433,23.87538903,3.798432307,11.8096233,1.574117032,99.72810724,5.880114057,1.991974127,9.177462539,59.2146503,6.578442919,0.86335015,299.1454125,0.038081743,0.202039165,15.66519088,0.013562636,0.012132012,2.71064816,9.135819189,200.3820253,2.711073091,50.12631399,50.37619809,0.704719189,0.010767436,0.045835936,0.164377272,0.597667044,0.017057855,0.00575999,0.007128632,0.014523261,23.9366388,11.55798741,90.24188761,30.39754706,63.0488711,96.19417603,0.227647347,2.938581034,335.2803527,39.29043578,66.01904914,1.642799988,1.392868085,391.2774749,2.196502837,0.205198424,109.6746048,9.212808022,1.867397504,0.002976563,33.08515381,0.00835762,6.702100898,6.159809746,206.5029398,0.009366313,0.032725587,2.78709573,0.721701905,5.41039831,115.2282652,0.010988899,0.00477907,1.58552917,1.624560351,0.00415808,0.022580259,7.49854221,71.11692229,5.503909254,3.500293462,43.78792847,1.716912242,10.74654111,44.66912743,31.17734033,6.315885967,4.068497846,13.86593675,0.01039373,0.683004808,9.296066255,0.193860801,10.78707691,100.759871,0.150632428,0.286416688,0.425543943,60.81921147,1.473911271,0.005085473,3.163954064,7.93834818,0.002456761,0.01041687,0.002267272,0.024087683,4.202570356,0.006457666,1.579117734,0.006211089,0.731783411,1.072762699,0.087822653,2.272175202,0.283767257,1.035656546,1.490383229,0.712880036,2.537407129,1.953032334,0.040455405,0.093981051,1.996090419,0.083110825,0.113167628,0.002523638,3.22882009,0.048794214,0.002845618,0.191629184,0.006893326,0.00300076,0.070183786,0.042711172,0.070044459,0.005834188,0.356639136,0.029248436,0.102204055,0.214036669,0.2090771,0.008117984,0.009661975,0.007946304,0.040935008,0.057960048
BF06,S648,Air,dWing,Air,Bellows Falls UHS #27,1.817818625,0.226692233,1.14087062,0.82295887,0.081305461,0.433876544,0.153457773,1.482291184,0.178385889,0.058570372,0.18764535,0.146341646,0.000891373,0.393918312,0.275150902,0.264203037,0.612964555,0.0705165,0.639889874,0.46039602,0.26643834,0.001029125,0.009928586,0.052425049,0.11232031,0.038536206,0.746232601,0.174073448,0.002064537,0.009696642,3.50E-05,0.132039693,7.01E-05,4.25E-05,0.691499294,0.113075828,0.376319395,0.045381406,2.875549199,0.18118793,0.067698583,0.264235141,1.476651061,0.209306906,0.036256655,7.316988915,0.001852945,0.010259089,0.660949571,0.004238188,0.000210424,0.085829871,0.368907997,6.533444617,0.081020499,1.162711755,1.786391973,0.022052443,0.006913659,0.004801765,0.018932385,0.03288536,4.50E-05,0.000246173,4.22E-05,9.07E-05,1.129665006,0.695699802,3.418957306,1.348592571,2.84613477,3.660082068,0.006290608,0.12251761,11.59408578,1.425567049,2.436352235,0.046424853,0.041349666,12.29177856,0.077172322,0.003810854,3.666313007,0.263914323,0.056180016,0.000786072,1.794682677,0.000263407,0.340781758,0.278549221,8.683847977,9.93E-05,0.002290721,0.133853221,0.138626881,0.209291685,5.608046977,0.00010733,7.27E-05,0.068598847,0.087698496,0.000287535,0.000176045,0.441333857,3.931802602,0.301452568,0.163107696,2.314404452,0.077549197,0.559939162,2.176103181,1.417328713,0.3305894,0.195387736,0.750825454,0.002680992,0.021659483,0.434529855,0.007364569,0.560008259,5.034481195,0.006785955,0.01161001,0.016792135,3.306508032,0.05870393,0.000773647,0.199835365,0.438501032,0.00336761,0.000495819,0.000251014,0.008065091,0.216066626,0.000606861,0.082076437,4.30E-05,0.058625931,0.066359155,0.017838949,0.154774793,0.014807107,0.06620779,0.093306832,0.04992093,0.184133271,0.140192892,0.007460249,0.003592006,0.136809155,0.00292097,0.017100334,0.000595911,0.212038516,0.002044287,0.001489661,0.012028571,0.003795175,4.74E-05,0.004004662,0.003383022,0.005808674,0.001517359,0.016455835,0.005163086,0.006958694,0.012301396,0.010369594,0.000272865,0.002879718,0.000895832,0.002207407,0.001508279
BF07,S649,Air,dWing,Air,Bellows Falls UHS #27,1.740222151,0.206610184,1.04186288,0.876437375,0.078080185,0.420995783,0.152515956,1.450131853,0.177635849,0.060727968,0.20851756,0.127086646,0.000709754,0.335942425,0.257851824,0.251071073,0.600920478,0.072367283,0.58540437,0.410542879,0.244640274,0.001177498,0.009532064,0.046959797,0.102365422,0.036832642,0.722350038,0.165977393,0.00229888,0.006716767,5.97E-05,0.130830371,8.46E-05,5.60E-05,0.775706719,0.124772007,0.426119884,0.043869274,3.304769992,0.190672605,0.071541974,0.294331566,1.685429934,0.227806488,0.040112946,8.519521346,0.002268141,0.008663001,0.75850451,0.003119416,0.000439809,0.092998983,0.422403953,7.658361424,0.094016126,1.34427986,2.070697018,0.019933279,0.004704266,0.004773931,0.002554365,0.035758384,0.000180748,0.000269653,9.18E-05,8.16E-05,1.380873147,0.970503272,4.144097888,1.620812514,3.648771432,4.399347274,0.00225648,0.145573481,14.26469078,1.741066859,2.9804665,0.0537567,0.054170067,14.85213206,0.090025434,0.003045122,4.494019354,0.327882224,0.067110215,0.00040711,2.318235711,0.000304497,0.421789186,0.341522973,10.80380749,0.000130801,0.00229324,0.17315734,0.176472607,0.306510385,7.080653516,0.000158455,0.00013053,0.090407593,0.107421466,0.000153651,0.000137647,0.56914617,5.03053831,0.379692595,0.201832782,2.88174551,0.095028086,0.697303561,2.598635713,1.673458195,0.422598524,0.237982423,0.934346036,0.002519705,0.024619627,0.521500705,0.008682229,0.693928336,6.1112489,0.007837248,0.014382534,0.020388579,4.12636409,0.071206328,0.000609375,0.25689022,0.558419438,0.002935562,0.000159644,0.000104205,0.010329463,0.271750201,0.000643762,0.104647521,1.78E-05,0.073878886,0.082227777,0.021379463,0.176305357,0.016341115,0.072754256,0.108422618,0.054004277,0.190591806,0.164197448,0.009938548,0.003738972,0.157125511,0.002012903,0.017656879,0.001044936,0.229505016,0.001592722,0.001890374,0.014665216,0.004524541,1.60E-05,0.005246946,0.002730409,0.005836221,0.001514288,0.017800576,0.004264847,0.006155082,0.011514069,0.011304454,0.000362408,0.00703312,0.000835896,0.003087068,0.002802766
BF08,S652,Emissions,dWing,Mastic,Bellows Falls UHS #27,10.08676517,1.617698991,6.881912917,6.476706826,1.033056321,3.914117177,1.327887676,15.35399316,1.540160128,0.454622065,5.288829615,1.377657451,0.041042426,4.105663725,4.537782164,4.447194217,9.820348201,0.938765817,12.68866926,8.395668034,5.019966747,0.014123834,0.142061721,0.992723636,2.093893854,0.64167823,13.86732886,3.223766335,0.017545275,0.147412474,0.000620792,1.709060695,0.002435459,0.003412895,7.186750039,1.671732351,4.451723181,0.56624306,27.64319145,2.832525408,0.9498078,3.407876647,16.72408543,2.953658274,0.565593358,71.52864486,0.066612682,0.061720203,5.979366398,0.023938456,0.009988843,1.228269785,3.293548872,53.4261443,0.777692571,11.34241433,15.53565928,0.328899847,0.035752314,0.091898889,0.171219383,0.414567882,0.001787715,0.00442238,0.005295096,0.003516352,12.55268117,5.05107602,26.30060012,13.46096086,26.28590518,34.29330908,0.038617177,1.063870249,97.04872024,11.02892667,19.55881727,0.415823723,0.351644444,92.70495924,0.663500174,0.0459978,31.37362375,2.162924214,0.52066603,0.045500818,27.35892675,0.00389314,4.26525511,3.505330671,92.76101467,0.001740702,0.016926626,1.756190949,1.21627739,2.147806161,70.88626054,0.008455243,0.00830473,1.062578063,1.092896531,0.003790632,0.003331697,7.860072142,63.37953275,4.838904883,2.099364074,32.28313452,1.095453462,6.572302479,21.38821091,11.70304051,4.847591702,2.078128782,11.3327094,0.005314762,0.22566793,4.272404408,0.081758618,7.37267489,56.79574202,0.081561063,0.122122982,0.170602404,45.84533725,0.57255617,0.035188678,3.323906793,6.799346376,0.004844486,0.003436025,0.005303897,0.133313067,3.673811958,0.004225766,1.407672191,0.002256846,1.048485389,1.257296633,0.310614055,2.918103544,0.27198901,0.973085403,1.727283374,0.797021518,2.389295461,2.466217311,0.241046703,0.271934667,2.310823653,0.290569078,0.366377676,0.050159259,3.535266301,0.186726546,0.032403188,0.187868197,0.025867257,0.001827686,0.033377492,0.032905919,0.087153784,0.010123575,0.192543469,0.062463713,0.119796386,0.187439559,0.118389538,0.021524251,0.013760458,0.019586928,0.009059879,0.101189763
BF09,S669,Emissions,dWing,CMU Wall,Bellows Falls UHS #27,2.091338814,0.423881356,2.269699724,0.942545088,0.191981155,0.83350688,0.274839068,3.208934166,0.32823184,0.103083682,1.211134999,0.74322496,0.040688,2.258037134,0.750874391,0.585896669,1.301584682,0.136695689,3.163511203,2.268273672,1.508827863,0.023406158,0.046505018,0.266298661,0.47712739,0.115876676,3.452576098,0.507674345,0.028008281,0.102792002,0.010545207,1.410746306,0.011891549,0.005085573,4.051976756,0.648019455,2.13293526,0.131856601,14.04835652,0.547199806,0.258976534,1.198309862,6.373590741,0.684932445,0.1508794,29.54595449,0.051242757,0.077969112,6.175062629,0.016785168,0.003591583,0.486862593,3.577353297,53.57999327,0.628722128,6.574446521,15.43395348,0.201878124,0.062555403,0.043139496,0.20328846,0.003606045,0.001994079,0.002725275,0.001510731,0.001703711,9.832206938,4.506085221,21.2104978,11.69572873,23.52336942,30.06108523,0.02715412,0.782881116,85.26559995,8.340439906,16.1557212,0.022821358,0.22101947,69.64567209,0.324096577,0.029112948,28.13461893,1.423618431,0.291775437,0.015201164,15.72456231,0.00197748,3.130012769,2.59458703,77.00062353,0.001990729,0.009064728,1.292080458,0.324540191,1.543565471,51.43408908,0.002492738,0.000733573,0.651403115,0.818072271,0.001351155,0.005416202,3.351928618,30.97083282,2.497811518,1.305011629,18.94056847,0.7084142,4.331030731,16.99217642,9.011839467,2.694895386,1.528558177,6.370599349,0.003045531,0.159044488,3.380131816,0.057926611,4.616732275,41.25041007,0.067382101,0.081086744,0.108879942,28.58945093,0.450311709,0.026501295,1.116355756,3.38139671,0.01546969,0.001205974,0.001698649,0.007441038,1.711804004,0.001224568,0.513386587,0.000941523,0.354523733,0.54343451,0.126441106,1.557699954,0.157539823,0.693685476,0.8219197,0.590708097,2.058648453,1.020956439,0.074630959,0.130420731,1.346260467,0.136034769,0.218374837,0.031747984,2.392685933,0.09410732,0.01795435,0.046242769,0.016810283,0.001121767,0.042298879,0.035185817,0.07679961,0.030955781,0.175733817,0.069798768,0.110761668,0.176756064,0.107760959,0.037605977,0.007577725,0.006157083,0.006997797,0.102365737
