bid,1,2,3,4,5,6,7,8,9,10,11,12+13,14,15,16,17,18+30,19,20+28,21+33,22,23,24,25,26+29,27,31,32,34,35,36,37,38,39,40+71,41,42,43,44+47+65,45,46,48,49+69,50+53,51,52,54,55,56,57,58,59+62+75,60,61+70+74+76,63,64,66,67,68,72,73,77,78,79,80,81,82,83,84,85+116,86+97+109+119,87+125,88,89,90+101+113,91,92,93+100,94,95,96,98,99,102,103,104,105,106,107,108+124,110,111,112,114,115,117,118,120,121,122,123,126,127,128+166,129+138+163,130,131,132,133,134,135+151,136,137,139+140,141,142,143,144,145,146,147+149,148,150,152,153+168,154,155,156+157,158,159,160,161,162,164,165,167,169,170,171+173,172,174,175,176,177,178,179,180+193,181,182,183,184,185,186,187,188,189,190,191,192,194,195,196,197,198+199,200,201,202,203,205,206,207,208,209
LB65,0.011128328,0.001873164,0.005095964,0.011265262,0.00091812,0.007312654,0.003039822,0.019793244,0.006848578,0.003945748,0.035652052,0.004323049,0.000955807,0.00684036,0.002975571,0.003186001,0.029127632,0.001893839,0.032211569,0.021577239,0.001781969,0.001210647,0.000286869,0.000555823,0.003474407,0.002530907,0.018602177,0.002805795,0.000394982,0.000331904,0.000638625,0.001743673,0.000322331,0.00029454,0.013487352,0.001607972,0.005598039,0.003440372,0.121433736,0.00072293,0.000311898,0.005851905,0.033022863,0.018297385,0.00050771,0.060538992,0.000613288,0.00074549,0.004533657,0.005399997,0.000456484,0.006000756,0.002927849,0.254214489,0.005068803,0.003389893,0.003744091,0.004453614,0.00756506,0.000242688,0.000422706,0.007352527,0.000809102,0.00565173,0.000554308,0.002162566,0.000802203,0.002209017,0.005196241,0.021601872,0.059912432,0.009590518,0.005426838,0.002653072,0.261888873,0.008762185,0.010225693,0.000991924,0.000643801,0.069267395,0.0029847,0.001903218,0.031135597,0.001451414,0.002428155,0.00063233,0.002112015,0.00291241,0.005421835,0.015262432,0.0220486,0.001403742,0.001329585,0.001170846,0.001748908,0.008937379,0.020493662,0.000382738,0.001975246,0.001115705,0.003882839,0.000763545,0.001625168,0.002218782,0.041206788,0.003428837,0.002013252,0.023197127,0.005765682,0.005673002,0.005460035,0.072219379,0.001757327,0.000553411,0.001576571,0.000177117,0.001329112,0.001666298,0.006686503,0.00974102,0.083061172,0.001527326,0.013207126,0.011495333,0.015491119,0.004762628,0.007809771,0.000954336,0.008404047,0.001027576,0.000344571,0.002027679,0.000219695,0.000779658,0.001840804,0.002926416,0.004370156,0.002769754,0.008952205,0.000517201,0.001867866,0.000280071,0.002036099,0.003417739,0.000518433,0.002156752,0.005357129,0.005472212,0.002864579,0.001216896,0.011682536,0.004315823,0.003463103,0.000531537,0.01135185,0.006590174,0.004119703,0.002913989,0.001208113,0.004136411,0.001625291,0.00159458,0.000633535,0.003909282,0.004495856,0.000560161,0.000886186,0.005732717,0.003355791,0.007167604,0.010101585,0.000593779,0.028696314
